gc_decomp_bucket,gc_decomp_bucket_l2,driver_group,KPI,Drill-down KPI,State
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",OEPE,,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",R2P,,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Dapart Speed,Breakfast,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Dapart Speed,Lunch,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Dapart Speed,Dinner,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",P90 speed,OEPE,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",P90 speed,R2P,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Promotion window speed,LTO1,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Promotion window speed,LTO2,Directional
Foundation Protection,Restaurant Foundation,"Speed
(Weighted Service Time)",Promotion window speed,LTO3,Directional
Foundation Protection,Restaurant Foundation,Supply Chain,Availability %,,Blocked
Foundation Protection,Restaurant Foundation,Supply Chain,Out-of-stock,,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Uptime rate,POS,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Uptime rate,App,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Uptime rate,Kiosk,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Response time,POS,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Response time,App,Blocked
Foundation Protection,Restaurant Foundation,"Technology
(Stability)",Response time,Kiosk,Blocked
Foundation Protection,Restaurant Foundation,"Staffing
(Stability)",Labor coverage,,Blocked
Foundation Protection,Restaurant Foundation,"Staffing
(Stability)",Satisfaction,,Blocked
Foundation Protection,Restaurant Foundation,"Staffing
(Stability)",Training met,,Blocked
Foundation Protection,Restaurant Foundation,Customer Satisfaction,OSAT,Food Quality,Directional
Foundation Protection,Restaurant Foundation,Customer Satisfaction,OSAT,Order Acuracy,Directional
Foundation Protection,Restaurant Foundation,Customer Satisfaction,OSAT,Speed of Service,Directional
